,Date,btc,eth,bnc
377,2018-08-06,6951.799805,406.65799,13.6991
378,2018-08-07,6753.120117,380.214996,13.1461
379,2018-08-08,6305.799805,356.613007,12.1437
380,2018-08-09,6568.22998,365.588013,12.858
381,2018-08-10,6184.709961,334.175995,12.1308
382,2018-08-11,6295.72998,322.112,11.7366
383,2018-08-12,6322.689941,319.570007,11.7418
384,2018-08-13,6297.569824,286.494995,10.2282
385,2018-08-14,6199.709961,278.932007,9.42011
386,2018-08-15,6308.52002,282.364014,9.46301
387,2018-08-16,6334.72998,288.04599,9.80233
388,2018-08-17,6580.629883,315.729004,10.8678
389,2018-08-18,6423.759766,295.812012,9.90758
390,2018-08-19,6506.069824,300.834015,10.1562
391,2018-08-20,6308.529785,274.315002,9.70093
392,2018-08-21,6488.759766,281.944,9.71463
393,2018-08-22,6376.709961,271.341003,9.53973
394,2018-08-23,6534.879883,277.104004,9.71504
395,2018-08-24,6719.959961,282.96701,10.2347
396,2018-08-25,6763.189941,279.645996,10.1358
397,2018-08-26,6707.259766,275.196991,10.1856
398,2018-08-27,6884.640137,285.602997,11.2128
399,2018-08-28,7096.279785,296.498993,11.4861
400,2018-08-29,7047.160156,289.312012,11.1735
401,2018-08-30,6978.22998,284.105011,10.7626
402,2018-08-31,7037.580078,283.003998,11.0138
403,2018-09-01,7193.25,295.341003,11.3794
404,2018-09-02,7272.720215,294.371002,11.2994
405,2018-09-03,7260.060059,289.259003,11.2611
406,2018-09-04,7361.660156,285.722992,11.3592
407,2018-09-05,6792.830078,232.330994,10.0866
408,2018-09-06,6529.169922,230.214996,10.2842
409,2018-09-07,6467.069824,217.203003,10.0373
410,2018-09-08,6225.97998,197.951004,9.52008
411,2018-09-09,6300.859863,196.923996,9.51263
412,2018-09-10,6329.700195,197.078995,9.52487
413,2018-09-11,6321.200195,185.065994,9.37396
414,2018-09-12,6351.799805,183.330994,9.21443
415,2018-09-13,6517.310059,211.354004,9.60406
416,2018-09-14,6512.709961,211.748993,9.93005
417,2018-09-15,6543.200195,223.074005,10.1103
418,2018-09-16,6517.180176,220.589005,9.93602
419,2018-09-17,6281.200195,197.875,9.40526
420,2018-09-18,6371.299805,209.975006,9.54406
421,2018-09-19,6398.540039,209.968994,9.61909
422,2018-09-20,6519.669922,224.591003,10.0745
423,2018-09-21,6734.950195,246.584,10.4108
424,2018-09-22,6721.97998,240.479996,10.245
425,2018-09-23,6710.629883,244.330002,10.2806
426,2018-09-24,6595.410156,228.729996,10.0359
427,2018-09-25,6446.470215,218.505005,9.78316
428,2018-09-26,6495.0,215.847,9.73663
429,2018-09-27,6676.75,228.494003,10.0312
430,2018-09-28,6644.129883,222.401993,9.96934
431,2018-09-29,6601.959961,231.634995,9.99914
